
===== energy_monitoring.log =====
2026-08-02 12:04:46,935 | ERROR | Unable to open Modbus port COM7 for slave 2.
2026-08-02 12:04:46,935 | WARNING | Modbus read failed for meter MTR-002 on COM7 slave 2 register 1845 count 4: connection unavailable
2026-08-02 12:04:46,936 | INFO | Meter MTR-002 status changed from warning to offline (no readings received).
2026-08-02 12:04:46,936 | WARNING | No readings received in this cycle for meter MTR-002.
2026-08-02 12:04:46,940 | INFO | Polling cycle ended at 2026-08-02T06:34:46.940808+00:00 after 0.087s across 2 meter(s).
2026-08-02 12:07:46,946 | INFO | Polling cycle started at 2026-08-02T06:37:46.945766+00:00.
2026-08-02 12:07:47,177 | WARNING | Configured COM port COM5 is not currently present on this machine. Available ports: COM3, COM4. Polling will keep retrying if the adapter reconnects.
2026-08-02 12:07:47,182 | WARNING | Configured COM port COM7 is not currently present on this machine. Available ports: COM3, COM4. Polling will keep retrying if the adapter reconnects.
2026-08-02 12:07:47,186 | INFO | Polling meter MTR-001 on COM5 slave 1.
2026-08-02 12:07:47,187 | INFO | Attempting Modbus connection on COM5 with 9600 baud, parity N, stop bits 1, byte size 8, timeout 2.00s.
2026-08-02 12:07:47,189 | ERROR | Unable to open Modbus port COM5 for slave 1.
2026-08-02 12:07:47,190 | WARNING | Modbus read failed for meter MTR-001 on COM5 slave 1 register 1845 count 4: connection unavailable
2026-08-02 12:07:47,194 | INFO | Meter MTR-001 status changed from warning to offline (no readings received).
2026-08-02 12:07:47,198 | WARNING | No readings received in this cycle for meter MTR-001.
2026-08-02 12:07:47,199 | INFO | Polling meter MTR-002 on COM7 slave 2.
2026-08-02 12:07:47,200 | INFO | Attempting Modbus connection on COM7 with 9600 baud, parity N, stop bits 1, byte size 8, timeout 2.00s.
2026-08-02 12:07:47,202 | ERROR | Unable to open Modbus port COM7 for slave 2.
2026-08-02 12:07:47,203 | WARNING | Modbus read failed for meter MTR-002 on COM7 slave 2 register 1845 count 4: connection unavailable
2026-08-02 12:07:47,204 | INFO | Meter MTR-002 status changed from warning to offline (no readings received).
2026-08-02 12:07:47,204 | WARNING | No readings received in this cycle for meter MTR-002.
2026-08-02 12:07:47,214 | INFO | Polling cycle ended at 2026-08-02T06:37:47.214182+00:00 after 0.268s across 2 meter(s).
2026-08-02 12:10:47,219 | INFO | Polling cycle started at 2026-08-02T06:40:47.219210+00:00.
2026-08-02 12:10:47,273 | WARNING | Configured COM port COM5 is not currently present on this machine. Available ports: COM3, COM4. Polling will keep retrying if the adapter reconnects.
2026-08-02 12:10:47,273 | WARNING | Configured COM port COM7 is not currently present on this machine. Available ports: COM3, COM4. Polling will keep retrying if the adapter reconnects.
2026-08-02 12:10:47,275 | INFO | Polling meter MTR-001 on COM5 slave 1.
2026-08-02 12:10:47,275 | INFO | Attempting Modbus connection on COM5 with 9600 baud, parity N, stop bits 1, byte size 8, timeout 2.00s.
2026-08-02 12:10:47,277 | ERROR | Unable to open Modbus port COM5 for slave 1.
2026-08-02 12:10:47,277 | WARNING | Modbus read failed for meter MTR-001 on COM5 slave 1 register 1845 count 4: connection unavailable
2026-08-02 12:10:47,278 | INFO | Meter MTR-001 status changed from warning to offline (no readings received).
2026-08-02 12:10:47,278 | WARNING | No readings received in this cycle for meter MTR-001.
2026-08-02 12:10:47,278 | INFO | Polling meter MTR-002 on COM7 slave 2.
2026-08-02 12:10:47,279 | INFO | Attempting Modbus connection on COM7 with 9600 baud, parity N, stop bits 1, byte size 8, timeout 2.00s.
2026-08-02 12:10:47,279 | ERROR | Unable to open Modbus port COM7 for slave 2.
2026-08-02 12:10:47,279 | WARNING | Modbus read failed for meter MTR-002 on COM7 slave 2 register 1845 count 4: connection unavailable
2026-08-02 12:10:47,281 | INFO | Meter MTR-002 status changed from warning to offline (no readings received).
2026-08-02 12:10:47,281 | WARNING | No readings received in this cycle for meter MTR-002.
2026-08-02 12:10:47,284 | INFO | Polling cycle ended at 2026-08-02T06:40:47.283860+00:00 after 0.065s across 2 meter(s).
2026-08-02 12:13:47,291 | INFO | Polling cycle started at 2026-08-02T06:43:47.291205+00:00.
2026-08-02 12:13:47,368 | WARNING | Configured COM port COM5 is not currently present on this machine. Available ports: COM3, COM4. Polling will keep retrying if the adapter reconnects.
2026-08-02 12:13:47,369 | WARNING | Configured COM port COM7 is not currently present on this machine. Available ports: COM3, COM4. Polling will keep retrying if the adapter reconnects.
2026-08-02 12:13:47,371 | INFO | Polling meter MTR-001 on COM5 slave 1.
2026-08-02 12:13:47,371 | INFO | Attempting Modbus connection on COM5 with 9600 baud, parity N, stop bits 1, byte size 8, timeout 2.00s.
2026-08-02 12:13:47,372 | ERROR | Unable to open Modbus port COM5 for slave 1.
2026-08-02 12:13:47,373 | WARNING | Modbus read failed for meter MTR-001 on COM5 slave 1 register 1845 count 4: connection unavailable
2026-08-02 12:13:47,373 | INFO | Meter MTR-001 status changed from warning to offline (no readings received).
2026-08-02 12:13:47,373 | WARNING | No readings received in this cycle for meter MTR-001.
2026-08-02 12:13:47,374 | INFO | Polling meter MTR-002 on COM7 slave 2.
2026-08-02 12:13:47,374 | INFO | Attempting Modbus connection on COM7 with 9600 baud, parity N, stop bits 1, byte size 8, timeout 2.00s.
2026-08-02 12:13:47,375 | ERROR | Unable to open Modbus port COM7 for slave 2.
2026-08-02 12:13:47,375 | WARNING | Modbus read failed for meter MTR-002 on COM7 slave 2 register 1845 count 4: connection unavailable
2026-08-02 12:13:47,376 | INFO | Meter MTR-002 status changed from warning to offline (no readings received).
2026-08-02 12:13:47,376 | WARNING | No readings received in this cycle for meter MTR-002.
2026-08-02 12:13:47,621 | INFO | Hourly readings aggregate refreshed 2 row(s).
2026-08-02 12:13:47,622 | INFO | Polling cycle ended at 2026-08-02T06:43:47.622174+00:00 after 0.331s across 2 meter(s).
2026-08-02 12:16:47,628 | INFO | Polling cycle started at 2026-08-02T06:46:47.628505+00:00.
2026-08-02 12:16:47,806 | WARNING | Configured COM port COM5 is not currently present on this machine. Available ports: COM3, COM4. Polling will keep retrying if the adapter reconnects.
2026-08-02 12:16:47,807 | WARNING | Configured COM port COM7 is not currently present on this machine. Available ports: COM3, COM4. Polling will keep retrying if the adapter reconnects.
2026-08-02 12:16:47,808 | INFO | Polling meter MTR-001 on COM5 slave 1.
2026-08-02 12:16:47,808 | INFO | Attempting Modbus connection on COM5 with 9600 baud, parity N, stop bits 1, byte size 8, timeout 2.00s.
2026-08-02 12:16:47,810 | ERROR | Unable to open Modbus port COM5 for slave 1.
2026-08-02 12:16:47,810 | WARNING | Modbus read failed for meter MTR-001 on COM5 slave 1 register 1845 count 4: connection unavailable
2026-08-02 12:16:47,810 | INFO | Meter MTR-001 status changed from warning to offline (no readings received).
2026-08-02 12:16:47,810 | WARNING | No readings received in this cycle for meter MTR-001.
2026-08-02 12:16:47,811 | INFO | Polling meter MTR-002 on COM7 slave 2.
2026-08-02 12:16:47,811 | INFO | Attempting Modbus connection on COM7 with 9600 baud, parity N, stop bits 1, byte size 8, timeout 2.00s.
