
===== energy_monitoring.log =====
2026-08-02 12:30:34,859 | INFO | Polling cycle ended at 2026-08-02T07:00:34.859327+00:00 after 4.260s across 2 meter(s).
2026-08-02 12:32:28,663 | INFO | Energy monitoring startup initiated in PID 13720.
2026-08-02 12:32:28,669 | INFO | Startup configuration: api=http://127.0.0.1:5000 poll_interval_seconds=180 database=True demo_mode=False timezone=Asia/Calcutta api_key_enabled=False
2026-08-02 12:32:28,670 | INFO | Primary log file: D:\energy-monitoring-system\logs\energy_monitoring.log
2026-08-02 12:32:28,671 | INFO | Frontend production build detected at D:\energy-monitoring-system\frontend\dist\index.html.
2026-08-02 12:32:28,683 | INFO | Detected COM ports at startup: COM1, COM3, COM4, COM5, COM6
2026-08-02 12:32:28,945 | INFO | PostgreSQL startup preflight succeeded and schema is ready.
2026-08-02 12:32:28,949 | INFO | Durable reading spool ready at data/reading_spool.sqlite3.
2026-08-02 12:32:29,047 | WARNING | Configured COM port COM7 is not currently present on this machine. Available ports: COM1, COM3, COM4, COM5, COM6. Polling will keep retrying if the adapter reconnects.
2026-08-02 12:32:29,047 | INFO | Validated 2 enabled meter(s) for polling startup.
2026-08-02 12:32:29,047 | INFO | Meter ready: MTR-001 (Stratapore Distribution Line Panel meter) on COM5 slave 1 baud=9600 parity=N stop_bits=1 byte_size=8 timeout=2.0 enabled=True
2026-08-02 12:32:29,048 | INFO | Meter ready: MTR-002 (TC Oven Meter) on COM7 slave 2 baud=9600 parity=N stop_bits=1 byte_size=8 timeout=2.0 enabled=True
2026-08-02 12:32:29,048 | INFO | Starting energy monitoring with 2 enabled valid meter(s).
2026-08-02 12:32:29,064 | INFO | Embedded Flask API started on http://127.0.0.1:5000 within PID 13720
2026-08-02 12:32:29,064 | INFO | Scheduled report worker is disabled by configuration.
2026-08-02 12:32:29,255 | WARNING | Configured COM port COM7 is not currently present on this machine. Available ports: COM1, COM3, COM4, COM5, COM6. Polling will keep retrying if the adapter reconnects.
2026-08-02 12:32:29,466 | INFO | Active polling meters refreshed: 2 meter(s).
2026-08-02 12:32:29,466 | INFO | Polling cycle started at 2026-08-02T07:02:29.466258+00:00.
2026-08-02 12:32:29,562 | WARNING | Configured COM port COM7 is not currently present on this machine. Available ports: COM1, COM3, COM4, COM5, COM6. Polling will keep retrying if the adapter reconnects.
2026-08-02 12:32:29,563 | INFO | Polling meter MTR-001 on COM5 slave 1.
2026-08-02 12:32:29,563 | INFO | Attempting Modbus connection on COM5 with 9600 baud, parity N, stop bits 1, byte size 8, timeout 2.00s.
2026-08-02 12:32:33,961 | INFO | Program stopped manually.
2026-08-02 12:46:37,329 | INFO | Energy monitoring startup initiated in PID 11672.
2026-08-02 12:46:37,335 | INFO | Startup configuration: api=http://127.0.0.1:5000 poll_interval_seconds=180 database=True demo_mode=False timezone=Asia/Calcutta api_key_enabled=False
2026-08-02 12:46:37,335 | INFO | Primary log file: D:\energy-monitoring-system\logs\energy_monitoring.log
2026-08-02 12:46:37,336 | INFO | Frontend production build detected at D:\energy-monitoring-system\frontend\dist\index.html.
2026-08-02 12:46:37,346 | INFO | Detected COM ports at startup: COM1, COM3, COM4, COM5, COM6
2026-08-02 12:46:37,562 | INFO | PostgreSQL startup preflight succeeded and schema is ready.
2026-08-02 12:46:37,574 | INFO | Durable reading spool ready at data/reading_spool.sqlite3.
2026-08-02 12:46:37,655 | WARNING | Configured COM port COM7 is not currently present on this machine. Available ports: COM1, COM3, COM4, COM5, COM6. Polling will keep retrying if the adapter reconnects.
2026-08-02 12:46:37,655 | INFO | Validated 2 enabled meter(s) for polling startup.
2026-08-02 12:46:37,656 | INFO | Meter ready: MTR-001 (Stratapore Distribution Line Panel meter) on COM5 slave 1 baud=9600 parity=N stop_bits=1 byte_size=8 timeout=2.0 enabled=True
2026-08-02 12:46:37,656 | INFO | Meter ready: MTR-002 (TC Oven Meter) on COM7 slave 2 baud=9600 parity=N stop_bits=1 byte_size=8 timeout=2.0 enabled=True
2026-08-02 12:46:37,656 | INFO | Starting energy monitoring with 2 enabled valid meter(s).
2026-08-02 12:46:37,672 | INFO | Embedded Flask API started on http://127.0.0.1:5000 within PID 11672
2026-08-02 12:46:37,672 | INFO | Scheduled report worker is disabled by configuration.
2026-08-02 12:46:37,752 | WARNING | Configured COM port COM7 is not currently present on this machine. Available ports: COM1, COM3, COM4, COM5, COM6. Polling will keep retrying if the adapter reconnects.
2026-08-02 12:46:37,914 | INFO | Active polling meters refreshed: 2 meter(s).
2026-08-02 12:46:37,915 | INFO | Polling cycle started at 2026-08-02T07:16:37.915134+00:00.
2026-08-02 12:46:38,003 | WARNING | Configured COM port COM7 is not currently present on this machine. Available ports: COM1, COM3, COM4, COM5, COM6. Polling will keep retrying if the adapter reconnects.
2026-08-02 12:46:38,004 | INFO | Polling meter MTR-001 on COM5 slave 1.
2026-08-02 12:46:38,004 | INFO | Attempting Modbus connection on COM5 with 9600 baud, parity N, stop bits 1, byte size 8, timeout 2.00s.
2026-08-02 12:46:42,048 | WARNING | Modbus read failed for meter MTR-001 on COM5 slave 1 register 1845 count 4: Modbus Error: [Input/Output] Modbus Error: [Invalid Message] No response received, expected at least 4 bytes (0 received)
